year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2001,3.7803545971264523,0.02013427257614009,3.7468216396368503,3.767019202838889,3.7782937165366843,3.7975201118512625,3.8107306046351948,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,6.872284581933859,4.3520742565306136e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139518,3.950617610826157e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,3318.4371310832807,13.241345673098374,3297.3313999996108,3308.0841104978017,3319.0051252288513,3329.078201173978,3339.8875405345725,25.09367651133365,0.10435846582275292,24.925880091124228,25.01327049508985,25.09924303815859,25.18211207456547,25.248611161546687,3.689795599425199,0.014667985228516195,3.666644832013971,3.6785227771047526,3.6904152498709655,3.7014091433666665,3.713595213215714,116361394.02347302,462569.58216648607,115631311.42239258,116005894.29877548,116380935.31993076,116727638.7452112,117111938.64397077
2002,-0.8724163363127564,0.003909362011843082,-0.8781838479324543,-0.8755634734499833,-0.8728036418362011,-0.8689158808285817,-0.8662480836482519,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,7.040762385145838,0.0008973174144766849,7.039267933007053,7.040168071073754,7.0406705385675545,7.041527394918742,7.042116142547145,175.53633470819827,0.022371413973489872,175.4990758665433,175.52151760343443,175.53404484087645,175.5554075023371,175.57008582765258,5701.561613878162,22.4439797837178,5667.3740545121145,5684.134248501412,5701.79959771776,5719.617395592908,5737.751493471129,39.76658685489131,0.17119413836827835,39.49204625622493,39.62932112648663,39.76626205661894,39.906990649567774,40.02515636650946,6.417425118908788,0.025170663209525167,6.379449387061285,6.3979523251253045,6.4177556508691245,6.437257171141432,6.4582666123379875,202379918.5499074,793782.0349755858,201182315.8703647,201765824.52515158,202390342.2058087,203005342.14911622,203667895.8866908
2003,-1.2383772718479795,0.006071704362979075,-1.2483300148791925,-1.2425852025575015,-1.239086458817306,-1.23397732798509,-1.227702829984754,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,7.001881697090827,0.0009329355410677586,7.000298145340539,7.00123087913957,7.001867058103969,7.002638147702667,7.003345145505083,174.56698322340642,0.023259425107648654,174.52750300026275,174.5507573956512,174.56661825240508,174.585842625347,174.60346909760867,9865.864036300745,40.50735942402226,9802.94767109218,9832.343839876,9864.821281402483,9897.627292602545,9930.825477132668,47.89384937347631,0.22200000885222557,47.5372514498861,47.71825328102058,47.89516817552456,48.07259012323585,48.248536210587964,11.602411924391502,0.047763878370350774,11.527911958321624,11.562425309887468,11.601048900527633,11.640946551116446,11.678811850332188,365893662.44760984,1506281.668287384,363544231.51763076,364632644.5726112,365850678.12703943,367108890.4360083,368303010.5120759
2004,-1.7721279762066418,0.006955207220015127,-1.7829911198525519,-1.776603072309022,-1.7726511868928772,-1.7674662418025748,-1.7602587983529068,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,6.946691350008808,0.0010125863353706984,6.944913232912898,6.946008039406112,6.94674012358097,6.947478705426275,6.948338087946874,173.19100847690842,0.025245233990792662,173.146677459808,173.1739725606111,173.19222447222563,173.21063838011156,173.2320640226097,7546.9491523916095,30.15291960317013,7501.712091794445,7524.140586283485,7548.506824071586,7569.435430852243,7593.338710661691,38.4253390058817,0.16530948969157164,38.15990185040029,38.30969727525398,38.42361128438217,38.55914005477282,38.66477577398134,8.806049475149814,0.035226552922564026,8.75335384783825,8.779711073197914,8.807567369410165,8.832390027752792,8.859953945301251,278468418.92297816,1113948.1471384875,276802056.71788025,277635535.44109374,278516418.382436,279301370.4136099,280173007.6398943
2005,-1.3863587777970727,0.005331960172426445,-1.3946771500591566,-1.390286012947228,-1.386675982648962,-1.382055395278632,-1.3776827221247732,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,6.867713513202526,0.0010430004237688716,6.86590783273145,6.86693989538786,6.86772811834547,6.868485117263999,6.8693968658480395,171.22197739223458,0.026003500966563495,171.17695918053977,171.20268998723162,171.2223415194582,171.2412145914734,171.26394579526402,7304.801999093108,28.996823296896928,7261.127203922777,7281.6581904432,7306.043554360562,7326.962842966017,7351.571950416863,33.021911797735214,0.1406065287918946,32.795053109643234,32.913414576279365,33.0313811847883,33.13866461733991,33.227177596495984,8.382522491515129,0.0332499694048586,8.33288014969596,8.355659794673384,8.384070287191514,8.407599416499233,8.435914746154115,264351229.29242095,1048571.0351516219,262785708.4008118,263504087.2848198,264400040.57687157,265142055.1987198,266035007.43471617
2006,-0.8475583006267284,0.004255479638026658,-0.8542021598915305,-0.8509808072165533,-0.8478316462688598,-0.8441123189814375,-0.8407401758635061,40.069999999999744,2.5579538487363607e-13,40.07,40.07,40.07,40.07,40.07,6.806002863419764,0.0011656023890344758,6.804014644151885,6.8051097417569695,6.806007392813909,6.80690017104104,6.8079557971072004,169.85282913450857,0.029089153706876928,169.8032104854476,169.8305400987514,169.8529421715475,169.87522263641227,169.9015671851061,5936.950454202336,23.375134961475045,5901.979803472327,5917.803008446273,5937.873877642843,5954.5288973338775,5974.964627364059,28.177412126299473,0.11684010413338324,27.993604528813325,28.09274118844867,28.17939499016861,28.265368656250118,28.354641203370026,6.783183220707848,0.02671278883044005,6.743585818878183,6.761236994465928,6.784429944413297,6.80321261456686,6.826352366527116,213914466.04824263,842414.5085567569,212665722.3841424,213222369.85747752,213953782.72701776,214546113.0129805,215275848.23079914
2007,-1.5352544476308314,0.004988840734584008,-1.5433878634574205,-1.538484354268046,-1.5352556938614255,-1.5314174902578779,-1.5272578055822512,40.00500000000009,0.005310367218939986,40.0,40.0,40.0,40.01,40.01,6.7683859163992866,0.0013167733451617551,6.766200217665501,6.767345307759354,6.768343790577284,6.76940736435588,6.770548250566543,169.18849851349373,0.01722809182743138,169.15500544163754,169.17701430376482,169.19010988812386,169.19918800441587,169.21518279282628,6742.66482490074,27.017741521591105,6701.794208582913,6720.798146941021,6743.474696722391,6763.574852764563,6786.11301042031,61.924990415798,0.2843037866263352,61.46391479535058,61.700907499704414,61.920950669057135,62.15269062151699,62.35827808625521,7.801222268483739,0.031649227194786723,7.753083795672859,7.775992726351545,7.801261384191202,7.826248874605206,7.850702201576096,246019345.4589033,998090.0288147937,244501250.5803393,245223706.61822233,246020579.01185375,246808584.50954977,247579744.62890378
2008,1.0579284465799232,0.008700680091048572,1.04343689430489,1.0511366974747836,1.0579816085409823,1.0655122219639444,1.0712745782572088,39.90660000000067,0.01203494910666501,39.9,39.9,39.9,39.9,39.93,6.700638417591297,0.0014331923117359888,6.698385614953691,6.699442476510568,6.700569795711557,6.701800922159785,6.702886981309543,167.90803295049903,0.03417542153958631,167.85326471103255,167.883940364443,167.90811700069196,167.93515262616575,167.96033369897688,4974.329691626781,20.011995060688214,4943.787377932862,4958.278849408304,4974.760463817724,4990.216337977666,5004.605241528938,41.880895223095436,0.18487789263656282,41.58071993957061,41.73624739178606,41.881682332556835,42.024882119607526,42.159426519131934,5.559419577426142,0.022715641135190253,5.524706154679507,5.541322380152345,5.558937258269552,5.577188699369649,5.594470385547461,175802189.64520013,718323.0902334409,174704467.90573722,175229912.8341295,175786937.55590308,176364091.9269468,176910580.31993604
2009,-2.620035576041356,0.011281526980325867,-2.636602284303186,-2.6286188565895805,-2.6211895914093764,-2.6129105777900308,-2.6000841525380753,39.90660000000067,0.01203494910666501,39.9,39.9,39.9,39.9,39.93,6.747547698460101,0.0016799975926004866,6.744753131547569,6.746263970277789,6.747514787560316,6.74887574676393,6.750213700782234,169.0835090022549,0.0373104923204628,169.02836281321578,169.05451844914919,169.08079462490394,169.11561488691416,169.14477561462067,6426.467362566254,26.939610362278376,6383.895894884396,6408.316735024638,6426.240836438099,6449.426087787916,6464.859965333843,45.76160800044239,0.20904880841779175,45.42500312849599,45.62034088440073,45.74838320168553,45.94697398087835,46.08796577140935,7.458264756700299,0.031802307143483345,7.4076132211095205,7.436576661922392,7.457395646045178,7.48599255172354,7.507194344104788,235203837.367301,1002917.5580768889,233606490.54090986,234519881.61038455,235176429.09368074,236078261.11115357,236746880.83568862
2010,-0.6710744405259634,0.004503441831086993,-0.6787897041481579,-0.6738986334662967,-0.6713995352156781,-0.6675926624094461,-0.6635578595550896,39.7727999999992,0.004489988864127826,39.77,39.77,39.77,39.78,39.78,6.6321802447914004,0.0017215772820848023,6.629487775948894,6.630780187527468,6.632038065308228,6.633663838118904,6.634827385606757,166.75165387305972,0.031127199295029478,166.69569464291914,166.72819179098485,166.75782777807927,166.77852376590616,166.7920956441461,5244.526830717748,20.417687003731217,5212.450540638207,5229.021897912752,5245.24402777857,5261.603919575951,5276.704430443575,32.96340226213139,0.14562931271985727,32.71142926191579,32.853991244304446,32.96928693448057,33.084023614457806,33.17402563509916,6.032251989073203,0.02356733876999535,5.9951695959283535,6.013960646150599,6.033636227801193,6.051503957201405,6.068718426133335,190233098.72741243,743219.5954505726,189063668.37719658,189656262.93700528,190276752.0799384,190840228.7943035,191383104.28654087
